id,success,testType,failedAt,deviation,objPosX,objPosY,goalPosX,goalPosY,j1,j2,j3,j4,j5,j6,x,y,z,q1,q2,q3,totalThrowTime,calibImgTime,findObjTime,pathCalcTime,grabTime,throwTime,apiLogTime
96,0,Golfball,Throw,7,0.509934,0.555064,0.196049,0.295455,0,0,0,0,0,0,0,0,0,0,0,0,19450.5,-1,14830.9,0.246204,7556.08,19616.8,9.78882
97,0,Golfball,Throw,5,0.599576,0.601399,0.200608,0.195455,0,0,0,0,0,0,0,0,0,0,0,0,18089.1,-1,43545.2,0.324801,8037.08,47303.5,10.3111
98,0,Golfball,Throw,3,0.601873,0.601407,0.200608,0.0931818,0,0,0,0,0,0,0,0,0,0,0,0,24423.1,-1,20342.1,0.236289,8024.97,24756.6,33.1462
99,0,Golfball,Throw,1,0.601873,0.601407,0.093465,0.0931818,2.13241,-2.03592,2.31491,-1.86492,-1.55216,-1.3783,0.244495,-0.18002,0.280317,-2.58144,1.77172,-0.0343535,18178.7,-1,304392,0.484905,8050.61,307904,35.1016
100,0,"Golfball: reduced throwTime",Throw,2,0.406934,0.598498,0.0957447,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0,18128.6,-1,14096.6,0.232805,7159.06,17975.8,33.0937
101,0,"Golfball: reduced throwTime",Throw,4,0.627145,0.603798,0.0889058,0.184091,1.52423,-1.71072,1.53093,-2.94035,-0.652225,-1.57769,0.157618,-0.386793,0.674491,1.82805,-0.678046,1.8111,24018.5,-1,7954.52,0.373784,8127.12,11785.1,12.1696
102,1,"Golfball: reduced throwTime",,-1,0.502906,0.504435,0.0866261,0.295455,0,0,0,0,0,0,0,0,0,0,0,0,29735,-1,13865.9,0.354995,7468.4,15750.9,32.2286
103,1,"Golfball: reduced throwTime",,-1,0.306017,0.506234,0.0866261,0.397727,0,0,0,0,0,0,0,0,0,0,0,0,27721.1,-1,5945.81,0.425994,6757.75,7827.49,32.9401
104,0,Golfball,Throw,2,0.157492,0.501384,0.0911854,0.504545,0,0,0,0,0,0,0,0,0,0,0,0,25929.8,-1,345349,0.352169,6849.67,355113,9.81311
105,1,Golfball,,-1,0.159775,0.501387,0.0911854,0.504545,0,0,0,0,0,0,0,0,0,0,0,0,20793.5,-1,17874.6,0.25511,6862.18,19771.5,10.791
106,0,"Golfball: reduced throwTime",Throw,3,0.346961,0.405254,0.0911854,0.611364,2.13239,-2.03597,2.31491,-1.8648,-1.55209,-1.37837,0.244485,-0.180006,0.280319,-2.5814,1.77161,-0.0342952,16923.1,-1,5590.78,0.366347,7181.65,9416.49,9.24933
107,0,"Golfball: reduced throwTime",Throw,5,0.351534,0.405264,0.0911854,0.709091,0,0,0,0,0,0,0,0,0,0,0,0,24236.5,-1,16045.6,0.347929,7188.4,25968,9.3399
